rank,mineral,lon,lat,rf_prob,bayes_mean,bayes_std
1,ni,-90.99935509167885,37.77060301869709,0.028928578953712925,,
2,ni,-90.99935509167885,37.820603018697085,0.028928578953712925,,
3,ni,-89.89935509167893,37.67060301869709,0.028928578953712925,,
4,ni,-90.79935509167888,37.87060301869708,0.028928578953712925,,
5,ni,-90.79935509167888,37.92060301869708,0.028928578953712925,,
6,ni,-90.64935509167888,37.52060301869711,0.028928578953712925,,
7,ni,-90.99935509167885,37.02060301869713,0.028928578953712925,,
8,ni,-90.1993550916789,37.67060301869709,0.028928578953712925,,
9,ni,-90.1993550916789,37.62060301869709,0.028928578953712925,,
10,ni,-90.94935509167885,37.470603018697105,0.028928578953712925,,
