variant,cv,roc_auc,pr_auc
coords+geo+grav+grad,spatial-LOBO(4x4) used_blocks=16,0.6208265680813633,0.14780750121030525
coords+geo+grav+grad+geochem+mag,spatial-LOBO(4x4) used_blocks=16,0.620358296990587,0.14753291731852444
coords+geo+grav+grad+geochem,spatial-LOBO(4x4) used_blocks=16,0.6131443476413079,0.13821089962683114
coords+geo+grav,spatial-LOBO(4x4) used_blocks=16,0.6047539784845057,0.137036939486721
coords+geo,spatial-LOBO(4x4) used_blocks=16,0.5968090773264265,0.13404378051137805
coords,spatial-LOBO(4x4) used_blocks=16,0.5486635949795169,0.11352391861771337
coords+geo+grav+grad+geochem+mag,stratified-5x,0.7311852861101136,0.2706081560770184
coords,stratified-5x,0.7231267960561284,0.2562934316066582
coords+geo+grav+grad,stratified-5x,0.7195417980867148,0.26069265410454256
coords+geo+grav+grad+geochem,stratified-5x,0.7191944279292938,0.2615213472252944
coords+geo+grav,stratified-5x,0.7175292706705821,0.25763571671673235
coords+geo,stratified-5x,0.7106496863764852,0.24197540117429717
